title,speaker,speaker_role,content,source,text
The Times of Restitution of All Things,By Elder David A. Bednar,Of the Quorum of the Twelve Apostles,"The Church of Jesus Christ of Latter-day Saints was organized 195 years ago today, on April 6, 1830.
A small congregation of believers and friends gathered for this momentous and joyous occasion. A great outpouring of the Spirit blessed all in attendance as the ordinance of the sacrament was administered, the gift of the Holy Ghost was conferred, priesthood ordinations were performed, and truths of the gospel of Jesus Christ were preached.
In reestablishing His Church, the Lord designated by revelation 24-year-old Joseph Smith as its earthly leader: “a seer, a translator, a prophet, an apostle of Jesus Christ, an elder of the church through the will of God the Father, and the grace of your Lord Jesus Christ.”
I earnestly pray for the help of the Holy Ghost as we consider the importance and ongoing impact of this singular event in the history of the world.
The formal organization of The Church of Jesus Christ of Latter-day Saints was the culmination of a sequence of miraculous experiences. The first of these experiences occurred 10 years earlier in upstate New York.
In the spring of 1820, a young boy named Joseph Smith went into the woods near his home to pray. He had questions regarding the salvation of his soul, and he yearned “to know which of all the [churches] was right, that [he] might know which to join.”Joseph trusted that God would answer his prayer and direct him.
Please note that",https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng,"The Church of Jesus Christ of Latter-day Saints was organized 195 years ago today, on April 6, 1830.
A small congregation of believers and friends gathered for this momentous and joyous occasion. A great outpouring of the Spirit blessed all in attendance as the ordinance of the sacrament was administered, the gift of the Holy Ghost was conferred, priesthood ordinations were performed, and truths of the gospel of Jesus Christ were preached.
In reestablishing His Church, the Lord designated by revelation 24-year-old Joseph Smith as its earthly leader: “a seer, a translator, a prophet, an apostle of Jesus Christ, an elder of the church through the will of God the Father, and the grace of your Lord Jesus Christ.”
I earnestly pray for the help of the Holy Ghost as we consider the importance and ongoing impact of this singular event in the history of the world.
The formal organization of The Church of Jesus Christ of Latter-day Saints was the culmination of a sequence of miraculous experiences. The first of these experiences occurred 10 years earlier in upstate New York.
In the spring of 1820, a young boy named Joseph Smith went into the woods near his home to pray. He had questions regarding the salvation of his soul, and he yearned “to know which of all the [churches] was right, that [he] might know which to join.”Joseph trusted that God would answer his prayer and direct him.
Please note that"
The Times of Restitution of All Things,By Elder David A. Bednar,Of the Quorum of the Twelve Apostles," Joseph did not pray merely to know what was right. Rather, he prayed to know what was right so he could do what was right. Joseph asked in faithand was determined to act in accordance with the answers he received.
“In [response] to his [sincere] prayer, God the Father and His Son, Jesus Christ, appeared to Joseph and inaugurated the ‘restitution of all things’ (Acts 3:21) as foretold in the Bible. In this vision, he learned that following the death of the original Apostles, Christ’s New Testament Church was lost from the earth.”Joseph Smith would be instrumental in restoring once again the doctrine, the authority, and the covenants and ordinances of the Savior’s ancient Church.
Joseph affirmed: “I saw two Personages, whose brightness and glory defy all description, standing above me in the air. One of them spake unto me, calling me by name and said, pointing to the other—This is My Beloved Son. Hear Him!”
Through this vision and subsequent supernal experiences, Joseph Smith came to understand that God and Jesus Christ knew him as an individual, cared about his eternal salvation, and had a mission for him to perform. He also learned vital lessons about the attributes, character, and perfections of the Godhead—and that the Father and the Son are separate and distinct Beings. Jesus Christ is the literal Son of God in spirit and in the flesh.
Joseph Smith declared that",https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng," Joseph did not pray merely to know what was right. Rather, he prayed to know what was right so he could do what was right. Joseph asked in faithand was determined to act in accordance with the answers he received.
“In [response] to his [sincere] prayer, God the Father and His Son, Jesus Christ, appeared to Joseph and inaugurated the ‘restitution of all things’ (Acts 3:21) as foretold in the Bible. In this vision, he learned that following the death of the original Apostles, Christ’s New Testament Church was lost from the earth.”Joseph Smith would be instrumental in restoring once again the doctrine, the authority, and the covenants and ordinances of the Savior’s ancient Church.
Joseph affirmed: “I saw two Personages, whose brightness and glory defy all description, standing above me in the air. One of them spake unto me, calling me by name and said, pointing to the other—This is My Beloved Son. Hear Him!”
Through this vision and subsequent supernal experiences, Joseph Smith came to understand that God and Jesus Christ knew him as an individual, cared about his eternal salvation, and had a mission for him to perform. He also learned vital lessons about the attributes, character, and perfections of the Godhead—and that the Father and the Son are separate and distinct Beings. Jesus Christ is the literal Son of God in spirit and in the flesh.
Joseph Smith declared that"
The Times of Restitution of All Things,By Elder David A. Bednar,Of the Quorum of the Twelve Apostles," Heavenly Father and Jesus Christ are corporeal beings. He said, “The Father has a body of flesh and bones as tangible as man’s; the Son also; but the Holy Ghost has not a body of flesh and bones, but is a personage of Spirit.”
I testify the visitation of the Father and the Son to Joseph Smith was the initiating event in the grand “restoration of all things spoken by the mouth of all the holy prophets since the world began.”
The second in the sequence of miraculous experiences that led to the formal organization of the Savior’s restored Church was the translation and coming forth of the Book of Mormon.
“Joseph Smith was given the gift and power of God to translate an ancient record: the Book of Mormon—Another Testament of Jesus Christ. … This sacred text include[s] an account of the personal ministry of Jesus Christ among people in the Western Hemisphere soon after His Resurrection. [The Book of Mormon] teaches of life’s purpose and explains the doctrine of Christ, which is central to that purpose. As a companion scripture to the Bible, the Book of Mormon testifies that all human beings are sons and daughters of a loving Father in Heaven, that He has a divine plan for our lives, and that His Son, Jesus Christ, speaks today as well as in days of old.”
As members of the Savior’s restored Church, “We believe the Bible to be the word of God as far as it is translated correctly; we also believe the Book of Mormon",https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng," Heavenly Father and Jesus Christ are corporeal beings. He said, “The Father has a body of flesh and bones as tangible as man’s; the Son also; but the Holy Ghost has not a body of flesh and bones, but is a personage of Spirit.”
I testify the visitation of the Father and the Son to Joseph Smith was the initiating event in the grand “restoration of all things spoken by the mouth of all the holy prophets since the world began.”
The second in the sequence of miraculous experiences that led to the formal organization of the Savior’s restored Church was the translation and coming forth of the Book of Mormon.
“Joseph Smith was given the gift and power of God to translate an ancient record: the Book of Mormon—Another Testament of Jesus Christ. … This sacred text include[s] an account of the personal ministry of Jesus Christ among people in the Western Hemisphere soon after His Resurrection. [The Book of Mormon] teaches of life’s purpose and explains the doctrine of Christ, which is central to that purpose. As a companion scripture to the Bible, the Book of Mormon testifies that all human beings are sons and daughters of a loving Father in Heaven, that He has a divine plan for our lives, and that His Son, Jesus Christ, speaks today as well as in days of old.”
As members of the Savior’s restored Church, “We believe the Bible to be the word of God as far as it is translated correctly; we also believe the Book of Mormon"
The Times of Restitution of All Things,By Elder David A. Bednar,Of the Quorum of the Twelve Apostles," to be the word of God.”The Book of Mormon is another testament of Jesus Christ, confirms the truthfulness of the Bible, and restores plain and precious truths that were lost from the Bible.
The Church of Jesus Christ of Latter-day Saints teaches that the original Church established by the Savior, with its divine authority, doctrine, and covenants and ordinances, was lost from the earth. As part of the prophesied restoration of all things in the latter days, ancient prophets and apostles personally conferred priesthood authority upon Joseph Smith and committed priesthood keys to him. This was the third in the sequence of miraculous experiences that led to the formal organization of the Savior’s restored Church.
Priesthood authority allows God’s servants to “represent [Him] and act in His name.”“Priesthood keys are the authority to direct the use of the priesthood on behalf of God’s children.”
Under the direction of the Father and the Son, the resurrected John the Baptist restored, in 1829, the authority to baptize by immersion for the remission of sins.In that same year,three of the original Twelve Apostles—Peter, James, and John—restored the apostleship and additional priesthood authority and keys.
Six years after the formal organization of the Church, in the Kirtland Temple, Moses, Elias, and Elijah committed to Joseph the additional authority necessary to accomplish God’s work in the latter days.
Moses committed the keys of the gathering of Israel.
E",https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng," to be the word of God.”The Book of Mormon is another testament of Jesus Christ, confirms the truthfulness of the Bible, and restores plain and precious truths that were lost from the Bible.
The Church of Jesus Christ of Latter-day Saints teaches that the original Church established by the Savior, with its divine authority, doctrine, and covenants and ordinances, was lost from the earth. As part of the prophesied restoration of all things in the latter days, ancient prophets and apostles personally conferred priesthood authority upon Joseph Smith and committed priesthood keys to him. This was the third in the sequence of miraculous experiences that led to the formal organization of the Savior’s restored Church.
Priesthood authority allows God’s servants to “represent [Him] and act in His name.”“Priesthood keys are the authority to direct the use of the priesthood on behalf of God’s children.”
Under the direction of the Father and the Son, the resurrected John the Baptist restored, in 1829, the authority to baptize by immersion for the remission of sins.In that same year,three of the original Twelve Apostles—Peter, James, and John—restored the apostleship and additional priesthood authority and keys.
Six years after the formal organization of the Church, in the Kirtland Temple, Moses, Elias, and Elijah committed to Joseph the additional authority necessary to accomplish God’s work in the latter days.
Moses committed the keys of the gathering of Israel.
E"
The Times of Restitution of All Things,By Elder David A. Bednar,Of the Quorum of the Twelve Apostles,"lias committed the dispensation of the gospel of Abraham, including the restoration of the Abrahamic covenant.
Elijah committed the keys of the sealing power, providing the authority that allows ordinances performed on earth to be binding in eternity, such as joining families together in eternal relationships that transcend death.
As Joseph Smith translated the Book of Mormon, he received revelations indicating that the Church of Jesus Christ would be reestablished. But the Lord instructed Joseph not to organize His Church immediately. Rather, “by the spirit of prophecy and revelation,” the Lord revealed to Joseph “the precise day … [he] should proceed to organize His Church once [again] upon the earth.”
The Church was organized in proper sequence only after the restoration of the priesthood and the publication of the Book of Mormon. The first copies of the Book of Mormon became available on March 26, 1830, and the Church was formally organized on April 6.
“The Church of Jesus Christ of Latter-day Saints … is Christ’s New Testament Church restored. This Church is anchored in the perfect life of its chief cornerstone, Jesus Christ, and in His infinite Atonement and literal Resurrection. Jesus Christ has once again called Apostles and has given them priesthood authority. He invites all of us to come unto Him and His Church, to receive the Holy Ghost, the ordinances of salvation, and to gain enduring joy.”
The appearance of the Father and the Son to Joseph Smith, the translation and coming forth of the Book of Mormon,",https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng,"lias committed the dispensation of the gospel of Abraham, including the restoration of the Abrahamic covenant.
Elijah committed the keys of the sealing power, providing the authority that allows ordinances performed on earth to be binding in eternity, such as joining families together in eternal relationships that transcend death.
As Joseph Smith translated the Book of Mormon, he received revelations indicating that the Church of Jesus Christ would be reestablished. But the Lord instructed Joseph not to organize His Church immediately. Rather, “by the spirit of prophecy and revelation,” the Lord revealed to Joseph “the precise day … [he] should proceed to organize His Church once [again] upon the earth.”
The Church was organized in proper sequence only after the restoration of the priesthood and the publication of the Book of Mormon. The first copies of the Book of Mormon became available on March 26, 1830, and the Church was formally organized on April 6.
“The Church of Jesus Christ of Latter-day Saints … is Christ’s New Testament Church restored. This Church is anchored in the perfect life of its chief cornerstone, Jesus Christ, and in His infinite Atonement and literal Resurrection. Jesus Christ has once again called Apostles and has given them priesthood authority. He invites all of us to come unto Him and His Church, to receive the Holy Ghost, the ordinances of salvation, and to gain enduring joy.”
The appearance of the Father and the Son to Joseph Smith, the translation and coming forth of the Book of Mormon,"
The Times of Restitution of All Things,By Elder David A. Bednar,Of the Quorum of the Twelve Apostles," and the restoration of priesthood authority and keys were necessary prerequisites to the organization of the Lord’s restored Church 195 years ago today.
In the Old Testament, the prophet Daniel interpreted a dream about a stone that would be cut out of a mountain without hands and fill the entire earth.One year after the organization of the Church, the Lord instructed Joseph Smith that the keys of the kingdom of God had again been “committed unto man on the earth” and the “gospel [of Jesus Christ would] roll forth unto the ends of the earth, as the stone which is cut out of the mountain without hands.”
I testify: The Lord is fulfilling His promise. The Savior’s restored Church is being established throughout the world and is the instrument by which God will “gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him.”
The Lord’s latter-day work “is a cause that has interested the people of God in every age; it is a theme upon which prophets, priests and kings have dwelt with peculiar delight; they have looked forward with joyful anticipation to the day in which we live; and fired with heavenly and joyful anticipations they have sung and written and prophesied of this our day.”
In this greatest and last of all gospel dispensations, “a whole and complete and perfect union, and welding together of dispensations, and keys, and powers, and glories should take place, and be revealed from the days of Adam",https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng," and the restoration of priesthood authority and keys were necessary prerequisites to the organization of the Lord’s restored Church 195 years ago today.
In the Old Testament, the prophet Daniel interpreted a dream about a stone that would be cut out of a mountain without hands and fill the entire earth.One year after the organization of the Church, the Lord instructed Joseph Smith that the keys of the kingdom of God had again been “committed unto man on the earth” and the “gospel [of Jesus Christ would] roll forth unto the ends of the earth, as the stone which is cut out of the mountain without hands.”
I testify: The Lord is fulfilling His promise. The Savior’s restored Church is being established throughout the world and is the instrument by which God will “gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him.”
The Lord’s latter-day work “is a cause that has interested the people of God in every age; it is a theme upon which prophets, priests and kings have dwelt with peculiar delight; they have looked forward with joyful anticipation to the day in which we live; and fired with heavenly and joyful anticipations they have sung and written and prophesied of this our day.”
In this greatest and last of all gospel dispensations, “a whole and complete and perfect union, and welding together of dispensations, and keys, and powers, and glories should take place, and be revealed from the days of Adam"
The Times of Restitution of All Things,By Elder David A. Bednar,Of the Quorum of the Twelve Apostles," even to the present time. And not only this, but those things which never have been revealed from the foundation of the world … shall be revealed … in this, the dispensation of the fulness of times.”
The Prophet Joseph further explained, “All the ordinances and duties that ever have been required by the Priesthood, under the directions and commandments of the Almighty in any of the dispensations, shall all be had in the last dispensation, … bringing to pass the restoration spoken of by the mouth of all the Holy Prophets.”
I have attempted to summarize basic elements of the most important and glorious “good news”any person anywhere in the world can ever receive—the message that the Lord Jesus Christ has restored His gospel and Church in the latter days.
I invite all to learn about and prove this message. I promise that individuals “who prayerfully study the message of the Restoration and act in faith will be blessed [through the power of the Holy Ghost] to gain their own witness of its divinity and of its purpose to prepare the world for the promised Second Coming of our Lord and Savior, Jesus Christ.”As you pray earnestly with the expectation to both receive and act upon an answer from God, as did young Joseph Smith, your capacity to recognize and respond to that divine witness will be increased.
I witness that God, the Eternal Father, is our Father. I testify and witness that Jesus Christ is the Father’s Beloved Son and His Only Begotten in the flesh",https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng," even to the present time. And not only this, but those things which never have been revealed from the foundation of the world … shall be revealed … in this, the dispensation of the fulness of times.”
The Prophet Joseph further explained, “All the ordinances and duties that ever have been required by the Priesthood, under the directions and commandments of the Almighty in any of the dispensations, shall all be had in the last dispensation, … bringing to pass the restoration spoken of by the mouth of all the Holy Prophets.”
I have attempted to summarize basic elements of the most important and glorious “good news”any person anywhere in the world can ever receive—the message that the Lord Jesus Christ has restored His gospel and Church in the latter days.
I invite all to learn about and prove this message. I promise that individuals “who prayerfully study the message of the Restoration and act in faith will be blessed [through the power of the Holy Ghost] to gain their own witness of its divinity and of its purpose to prepare the world for the promised Second Coming of our Lord and Savior, Jesus Christ.”As you pray earnestly with the expectation to both receive and act upon an answer from God, as did young Joseph Smith, your capacity to recognize and respond to that divine witness will be increased.
I witness that God, the Eternal Father, is our Father. I testify and witness that Jesus Christ is the Father’s Beloved Son and His Only Begotten in the flesh"
The Times of Restitution of All Things,By Elder David A. Bednar,Of the Quorum of the Twelve Apostles,". He is our Savior and Redeemer.
And I joyfully witness that the Father and the Son appeared to the boy Joseph Smith, thus initiating the Restoration of the gospel of Jesus Christ in the latter days. The Book of Mormon is another testament of Jesus Christ and contains the word of God. Priesthood authority to represent the Savior and act in His name again is found on the earth. And The Church of Jesus Christ of Latter-day Saints is Christ’s New Testament Church restored. I bear my sure witness that all of these things are true in the sacred name of the Lord Jesus Christ, amen.",https://www.churchofjesuschrist.org/study/general-conference/2025/04/41bednar?lang=eng,". He is our Savior and Redeemer.
And I joyfully witness that the Father and the Son appeared to the boy Joseph Smith, thus initiating the Restoration of the gospel of Jesus Christ in the latter days. The Book of Mormon is another testament of Jesus Christ and contains the word of God. Priesthood authority to represent the Savior and act in His name again is found on the earth. And The Church of Jesus Christ of Latter-day Saints is Christ’s New Testament Church restored. I bear my sure witness that all of these things are true in the sacred name of the Lord Jesus Christ, amen."
Divine Helps for Mortality,By President Dallin H. Oaks,First Counselor in the First Presidency,"Through the Prophet Joseph Smith, the Lord revealed a few things about our pre-earth life. There we existed as spirit children of God.Because God desired to help His children progress, He decided to create an earth on which we could receive a body, learn through experience, develop divine attributes, and be proven to see if we would keep God’s commandments.Those who qualified would “have glory added upon their heads for ever and ever” (Abraham 3:26).
To establish the conditions of this divine plan, God chose His Only Begotten Son to be our Savior. Lucifer, whose suggested alternative would destroy the agency of man, became Satan and was “cast down.”Banished to the earth and denied the privilege of mortal life, Satan was permitted to attempt “to deceive and to blind men, and to lead them captive at his will, even as many as would not hearken unto [God’s] voice” (Moses 4:4).
Essential to God’s great plan for the mortal growth of His children was for them to experience “opposition in all things” (2 Nephi 2:11). Just as our physical muscles cannot be developed or maintained without straining against the law of gravity, so mortal growth requires us to strain against Satan’s temptations and other mortal opposition. Most important for spiritual growth is the requirement to choose between good and evil.Those who choose good would progress toward their eternal destiny. Those who choose evil—as",https://www.churchofjesuschrist.org/study/general-conference/2025/04/47oaks?lang=eng,"Through the Prophet Joseph Smith, the Lord revealed a few things about our pre-earth life. There we existed as spirit children of God.Because God desired to help His children progress, He decided to create an earth on which we could receive a body, learn through experience, develop divine attributes, and be proven to see if we would keep God’s commandments.Those who qualified would “have glory added upon their heads for ever and ever” (Abraham 3:26).
To establish the conditions of this divine plan, God chose His Only Begotten Son to be our Savior. Lucifer, whose suggested alternative would destroy the agency of man, became Satan and was “cast down.”Banished to the earth and denied the privilege of mortal life, Satan was permitted to attempt “to deceive and to blind men, and to lead them captive at his will, even as many as would not hearken unto [God’s] voice” (Moses 4:4).
Essential to God’s great plan for the mortal growth of His children was for them to experience “opposition in all things” (2 Nephi 2:11). Just as our physical muscles cannot be developed or maintained without straining against the law of gravity, so mortal growth requires us to strain against Satan’s temptations and other mortal opposition. Most important for spiritual growth is the requirement to choose between good and evil.Those who choose good would progress toward their eternal destiny. Those who choose evil—as"
Divine Helps for Mortality,By President Dallin H. Oaks,First Counselor in the First Presidency," all would do in the various temptations of mortality—would need saving help, which a loving God designed to provide.
By far, God’s strongest mortal help was His provision of a Savior, Jesus Christ, who would suffer to pay the price and provide forgiveness for repented sins. That merciful and glorious Atonement explains why faith in the Lord Jesus Christ is the first principle of the gospel. His Atonement “bringeth to pass the resurrection of the dead” (Alma 42:23), and it “atone[s] for the sins of the world” (Alma 34:8), erasing all of our repented sins and giving our Savior power to succor us in our mortal infirmities.
Beyond that glorious erasing of sins committed and being forgiven, the plan of a loving Father in Heaven provides many other gifts to protect us, including protecting us from sinning in the first place. Our mortal life alwaysbeginswith a father and a mother. Ideally, both are present, with different gifts to guide our growth. If not, their absence is part of the opposition we must overcome.
Our Heavenly Father’s plan provides other helps to guide us through our mortal journeys. I will speak of four of these. Please don’t hold me to my number offour, because these helps are overlapping. Moreover, there are other merciful protections in addition to these.
First, I speak of the Light or Spirit of Christ. In his great teaching",https://www.churchofjesuschrist.org/study/general-conference/2025/04/47oaks?lang=eng," all would do in the various temptations of mortality—would need saving help, which a loving God designed to provide.
By far, God’s strongest mortal help was His provision of a Savior, Jesus Christ, who would suffer to pay the price and provide forgiveness for repented sins. That merciful and glorious Atonement explains why faith in the Lord Jesus Christ is the first principle of the gospel. His Atonement “bringeth to pass the resurrection of the dead” (Alma 42:23), and it “atone[s] for the sins of the world” (Alma 34:8), erasing all of our repented sins and giving our Savior power to succor us in our mortal infirmities.
Beyond that glorious erasing of sins committed and being forgiven, the plan of a loving Father in Heaven provides many other gifts to protect us, including protecting us from sinning in the first place. Our mortal life alwaysbeginswith a father and a mother. Ideally, both are present, with different gifts to guide our growth. If not, their absence is part of the opposition we must overcome.
Our Heavenly Father’s plan provides other helps to guide us through our mortal journeys. I will speak of four of these. Please don’t hold me to my number offour, because these helps are overlapping. Moreover, there are other merciful protections in addition to these.
First, I speak of the Light or Spirit of Christ. In his great teaching"
